,accX,accY,accZ,gyroX,gyroY,gyroZ,accPCA,gyroPCA,side,gesture
8854,905,288,1858,640,451,546,48,5861,1,1
3469,2157,3657,954,27,739,1012,7910,3840,1,0
2609,1791,753,1468,357,10,18,5562,991,1,1
4900,161,2626,1583,13,4,8,4120,1675,1,1
8842,155,616,1669,784,942,260,4636,6665,1,1
8943,769,1090,1564,1035,634,834,1033,9490,1,0
563,1410,2110,1668,1447,75,454,3549,7461,1,0
3780,89,3147,1557,10,734,997,4355,1571,1,0
169,1533,3200,1583,860,1243,228,4684,6271,1,0
8841,194,469,1692,774,1238,1421,4361,5726,1,1
9708,450,2994,1508,649,685,1301,2126,7298,1,0
9699,353,2769,1465,203,22,2,2866,21,1,0
9697,369,2793,1601,790,1070,421,2787,7673,1,0
1123,1507,2867,667,242,794,85,4680,5600,1,0
50,2700,57,2175,1377,2,1412,9126,6381,1,1
4335,3519,2072,1699,214,21,20,7078,1759,1,1
872,3342,1593,2157,126,1291,1479,7001,7536,1,0
2816,922,2585,1640,1475,124,241,504,6300,1,0
8144,3820,1913,1477,112,151,1814,8125,9196,1,1
1803,1310,2372,2403,218,1331,1256,2592,6258,1,0
6475,971,42,1670,354,17,12,559,445,1,0
3761,243,3076,1685,768,3,9,3518,2709,1,0
1509,1298,1887,1671,805,1295,884,950,4197,1,0
7300,1865,3899,992,166,115,553,6918,1270,1,0
8950,3347,1242,1665,360,211,1288,6766,5583,1,0
4607,606,2716,1648,219,946,1885,1288,9760,1,0
1224,4370,2781,70,250,1040,1403,9595,7508,1,1
8212,71,2835,1652,779,731,6,4599,2741,1,0
9831,1211,567,1581,778,727,982,1912,1821,1,0
447,2689,2202,1834,1311,1409,113,9128,4484,1,1
2688,4461,3385,408,19,3,17,9941,2420,1,1
8784,272,797,1713,777,728,260,4023,6673,1,1
8705,3822,301,1562,766,723,260,8173,5972,1,1
9852,1294,375,1642,29,720,2,2578,15,1,1
2698,4463,3357,360,18,743,0,9943,134,1,1
1530,1584,739,1417,576,13,988,4340,5060,1,0
1472,2200,2513,1324,207,736,0,7772,796,1,1
3412,3440,1697,1354,648,1240,1732,7283,9620,1,0
8490,1976,2704,1299,6,927,1008,6912,2806,1,0
3393,638,10,1659,368,27,1005,1378,5259,1,1
376,2843,4123,646,492,1382,1928,9560,9765,1,0
410,1927,512,1235,355,943,626,6375,8112,1,1
3463,2154,3607,1077,359,732,1419,7856,7108,1,0
9955,1054,1530,1323,1222,11,1426,436,2577,1,0
5360,1115,2052,1645,28,9,7,1517,807,1,0
7307,860,2813,1637,6,724,540,245,7678,1,0
9774,665,88,1681,768,28,7,1255,2684,1,1
8917,3914,482,1565,7,211,1010,8452,2496,1,1
1190,2406,1305,1929,1222,1063,544,8166,8546,1,1
3772,222,3212,1579,776,749,1290,3560,2726,1,0
8488,2080,2757,1565,214,5,0,7353,955,1,1
2498,1976,2298,1486,23,205,1291,6795,3801,1,1
2020,1264,185,1697,9,739,1010,2387,3011,1,1
2039,1294,699,2010,1472,31,1211,2315,3963,1,0
6112,1490,71,1416,358,738,981,3986,1774,1,1
7919,77,35,1841,766,741,551,4973,8022,1,1
8548,4216,2208,317,970,1211,37,9197,9543,1,1
9228,1779,4023,901,367,7,990,6627,2958,1,0
7929,216,2128,1693,22,26,989,3991,781,1,1
5651,479,125,1584,764,440,18,2451,3804,1,1
3497,2804,4102,285,569,750,1727,9504,9312,1,0
9743,652,3018,1597,488,216,254,903,1899,1,0
9873,1880,2030,868,695,744,23,6377,2494,1,1
9950,1249,1772,1445,242,222,780,1315,8686,1,0
4089,3371,3124,1588,769,10,1289,6134,2605,1,0
8859,1000,203,1724,645,637,986,659,3409,1,1
3635,1428,2038,1884,854,982,263,3569,8894,1,1
9819,1003,727,1650,30,5,269,503,5706,1,0
5521,603,477,1794,17,9,11,1812,1882,1,1
2707,4435,3035,571,852,261,982,9895,9043,1,1
4067,3651,3044,1482,561,355,420,7373,5122,1,1
9230,1794,3975,918,27,10,6,6674,742,1,0
5337,913,2081,1739,779,935,986,287,1043,1,0
