temp,pressure,proximity,r,g,b,a,accX,accY,accZ,gyroX,gyroY,gyroZ,up,down,right,left,side
29.510,100.427,251,36,22,22,70,0.2119,-0.3993,0.8846,-8.9111,-1.7700,-5.7373,0,0,1,0,0
29.510,100.430,250,35,21,22,70,0.2175,-0.4014,0.8788,3.9673,4.0283,3.5400,0,0,1,0,0
29.510,100.367,249,36,21,22,70,0.2317,-0.3984,0.8704,-0.4883,3.4790,2.5024,0,0,1,0,0
29.520,100.423,252,35,21,22,71,0.2389,-0.3960,0.8668,-1.0986,-0.0610,3.4790,0,0,1,0,0
29.530,100.424,250,35,21,22,70,0.2422,-0.4054,0.8817,-2.8076,2.2583,1.7090,0,0,1,0,0
29.540,100.433,249,35,21,22,70,0.2443,-0.4167,0.8804,0.1831,3.6011,1.5259,0,0,1,0,0
29.540,100.420,252,35,21,22,70,0.2587,-0.4148,0.8818,10.6812,14.4043,10.8643,0,0,1,0,0
29.530,100.427,252,35,21,21,69,0.3391,-0.4181,0.7814,-1.8311,0.9155,-1.2817,0,0,1,0,0
29.520,100.365,252,35,21,21,69,0.2551,-0.4373,0.8783,-9.0942,-5.8594,-4.9438,0,0,1,0,0
29.540,100.427,251,35,21,21,69,0.3033,-0.4357,0.8213,6.7749,6.4087,4.6387,0,0,1,0,0
29.550,100.429,252,35,21,21,69,0.2823,-0.4219,0.8361,-8.5449,-5.0659,-3.8452,0,0,1,0,0
29.530,100.434,248,35,21,21,69,0.2832,-0.4391,0.8513,0.0610,1.8921,-1.7090,0,0,1,0,0
29.540,100.429,250,35,21,21,69,0.2944,-0.4304,0.8311,-3.1738,0.4272,0.3052,0,0,1,0,0
29.540,100.426,252,35,21,21,69,0.2920,-0.4404,0.8381,-2.8076,2.6245,-2.3193,0,0,1,0,0
29.520,100.425,251,35,21,21,69,0.2974,-0.4314,0.8461,0.4272,4.2725,-0.7324,0,0,1,0,0
29.550,100.378,253,35,21,21,69,0.3171,-0.4243,0.8154,0.3052,0.9155,0.4883,0,0,1,0,0
29.530,100.426,251,35,21,21,69,0.2996,-0.4406,0.8436,-3.4180,-0.5493,-2.1362,0,0,1,0,0
29.540,100.428,250,35,21,21,69,0.2996,-0.4302,0.8436,-1.7090,1.6479,-0.2441,0,0,1,0,0
29.540,100.436,251,35,21,21,69,0.3066,-0.4238,0.8374,-10.4980,4.7607,-5.3101,0,0,1,0,0
29.540,100.429,252,34,21,21,68,0.3129,-0.4209,0.8331,1.7700,2.0142,3.3569,0,0,1,0,0
29.520,100.429,250,34,21,21,68,0.3147,-0.4087,0.8203,-3.0518,-0.6104,-0.9155,0,0,1,0,0
29.530,100.374,251,34,21,21,68,0.3010,-0.4264,0.8612,0.4272,-0.9155,-1.0376,0,0,1,0,0
29.540,100.424,251,34,21,21,69,0.3020,-0.4163,0.8518,-2.7466,-3.4180,1.4038,0,0,1,0,0
29.520,100.424,251,34,21,21,68,0.3068,-0.4126,0.8282,0.5493,0.9155,0.4883,0,0,1,0,0
29.530,100.426,250,34,21,21,68,0.3256,-0.4197,0.8409,-3.6011,0.2441,-0.4883,0,0,1,0,0
29.510,100.422,251,34,21,21,68,0.3054,-0.4055,0.8479,-2.0752,-4.0894,0.1831,0,0,1,0,0
29.510,100.428,253,34,21,21,68,0.3107,-0.4094,0.8363,-1.9531,0.9766,0.3052,0,0,1,0,0
29.520,100.429,250,34,21,21,68,0.3062,-0.4033,0.8507,-5.3711,-2.1973,-1.5869,0,0,1,0,0
29.510,100.314,252,34,21,21,69,0.3099,-0.4152,0.8462,0.2441,-1.0986,1.4648,0,0,1,0,0
29.540,100.428,251,34,21,21,69,0.3005,-0.3955,0.8347,-4.7607,-2.0142,-3.1128,0,0,1,0,0
29.530,100.433,251,34,21,21,69,0.3010,-0.4098,0.8458,-2.2583,-2.4414,-1.0376,0,0,1,0,0
29.540,100.427,250,34,21,21,69,0.2939,-0.4030,0.8611,-2.8687,1.8311,-1.8311,0,0,1,0,0
29.550,100.434,251,34,21,21,68,0.2880,-0.4076,0.8497,-2.5635,-3.9673,-3.7231,0,0,1,0,0
29.540,100.431,251,34,21,21,68,0.3003,-0.3994,0.8407,-1.0986,-4.3335,-1.8311,0,0,1,0,0
29.540,100.358,250,35,21,21,69,0.3542,-0.3505,0.7633,-21.1182,-39.6729,-19.2261,0,0,1,0,0
29.520,100.418,250,36,22,22,70,-0.0283,-0.3217,0.9473,-90.2100,-105.8350,-62.2559,0,0,1,0,0
29.540,100.425,252,35,22,22,68,-0.2096,-0.2146,1.1101,46.9360,19.1650,51.3916,0,0,1,0,0
29.520,100.426,251,36,22,22,70,0.0134,-0.2703,0.8510,8.6060,-7.1411,-20.8740,0,0,1,0,0
29.510,100.422,248,36,22,22,69,-0.1405,-0.3784,0.9620,-10.3760,-0.7324,-32.7759,0,0,1,0,0
29.500,100.424,250,36,22,22,70,-0.0951,-0.3889,0.8313,32.4707,22.8882,5.3711,0,0,1,0,0
