accX,accY,accZ,gyroX,gyroY,gyroZ,up,down,right,left
-0.1488,-0.1263,0.8632,7.1411,-27.4658,-27.8931,0,0,1,0
-0.2273,-0.2018,0.8619,34.4849,-8.0566,-9.3384,0,0,1,0
-0.2954,-0.3185,0.9897,30.8228,9.8877,-1.6479,0,0,1,0
-0.1326,-0.4479,1.0270,2.7466,10.3149,-5.2490,0,0,1,0
-0.0750,-0.3783,0.9425,-15.5640,1.4648,1.6479,0,0,1,0
-0.1659,-0.3163,0.8729,-13.1836,3.1128,6.4697,0,0,1,0
-0.0376,-0.3888,0.9630,-11.9019,-10.4370,-0.5493,0,0,1,0
-0.1707,-0.2539,0.9419,-35.8276,-2.9297,53.7109,0,0,1,0
-0.2501,-0.1373,0.9445,-36.9873,-0.1831,60.1807,0,0,1,0
-0.1367,0.0043,0.9487,-44.7388,-15.4419,58.7769,0,0,0,1
-0.1993,0.2640,0.8367,-38.2080,-16.2354,86.0596,0,0,0,1
-0.3064,0.2600,0.9581,-27.5269,-5.2490,59.6313,0,0,0,1
-0.1537,0.4878,1.0922,-21.5454,-10.6812,26.1230,0,0,0,1
-0.2512,0.1320,0.9761,1.5259,58.7769,24.2310,0,0,0,1
-0.1239,-0.0444,0.8849,-6.1646,-0.9155,-38.5132,0,0,1,0
-0.0095,0.1965,0.9696,7.5073,-6.3477,-23.3765,0,0,0,1
-0.0598,0.0282,0.9224,-7.5684,0.4883,-0.9766,0,1,0,0
-0.1072,0.0809,0.9800,3.6011,-9.0942,-9.5825,0,0,0,1
-0.1161,0.0452,1.0126,-2.0752,-5.4932,-2.7466,0,0,0,1
-0.1444,0.1257,0.9438,-1.8311,-6.5918,-2.4414,0,0,0,1
-0.1378,0.0679,0.9939,3.7842,-3.9062,-6.5918,0,0,0,1
-0.1069,0.0303,1.1042,-12.7563,-14.3433,-11.5356,0,0,0,1
-0.1482,0.0714,1.1295,-1.4038,2.1362,-3.1128,0,0,0,1
-0.1051,0.0851,1.2211,-0.4883,39.9170,-0.6104,0,0,0,1
-0.0248,0.0983,1.1967,1.7700,47.9736,-2.1973,0,0,0,1
0.0739,0.0896,1.1318,-6.7749,55.9692,-3.1128,0,1,0,0
0.0930,0.1219,1.0050,-18.3105,49.7437,-3.4180,0,1,0,0
0.0975,0.1741,0.8300,-32.8369,40.4053,-11.3525,0,1,0,0
0.1960,0.1984,0.7178,-1.7090,59.3872,14.2212,0,1,0,0
0.2952,0.0869,0.6013,29.4189,95.2759,98.2056,0,1,0,0
0.1311,0.1180,0.6467,10.6201,4.1504,3.6621,0,1,0,0
0.1779,0.0696,0.7716,21.3623,-20.5688,-13.7939,0,1,0,0
0.2992,0.0446,0.8469,8.9722,-36.1328,-27.2827,0,1,0,0
0.2622,0.0310,0.9457,-0.4883,-31.9824,-16.2354,0,1,0,0
0.1943,0.0786,0.8905,-9.0942,-34.6680,-14.4653,0,1,0,0
0.1018,0.0649,0.8802,-5.3101,-28.7476,-8.9111,0,1,0,0
0.1121,0.0580,0.9414,-10.1318,-49.4385,-17.4561,0,1,0,0
0.0480,0.1327,0.9426,-11.1084,-21.7896,-2.5024,0,1,0,0
0.0535,0.1041,0.9523,-1.7090,-13.8550,-1.2207,0,1,0,0
0.0959,0.1060,0.9501,-2.1362,-38.6963,-17.7002,0,1,0,0
-0.0070,0.2076,0.8910,1.2207,-54.8706,-17.8223,0,0,0,1
-0.0797,0.0775,0.9270,19.1040,-38.4521,1.5869,0,0,0,1
-0.2284,-0.0005,1.0223,-3.7231,-56.2134,-2.5635,1,0,0,0
-0.1937,-0.0424,1.0214,-18.1885,-54.4434,-8.3618,1,0,0,0
-0.2424,0.3053,1.0712,-21.9116,-66.3452,7.4463,0,0,0,1
-0.5525,0.0280,1.2942,4.6387,57.9834,2.5024,1,0,0,0
-0.4487,-0.0884,0.7699,-12.5122,8.9111,-14.8926,1,0,0,0
-0.1016,0.2119,0.8243,-1.2817,-7.0801,-7.9956,0,0,0,1
-0.1335,0.1091,0.9971,16.2354,11.0474,0.3052,0,0,0,1
-0.4915,0.1847,0.7893,-20.2026,-21.4844,10.1929,1,0,0,0
-0.3829,0.2179,0.9419,6.3477,-5.2490,-19.2261,1,0,0,0
-0.2791,0.0751,0.9178,-4.5776,-12.0850,-24.1699,1,0,0,0
-0.3088,0.1162,0.9340,4.8218,5.1880,1.1597,1,0,0,0
-0.3201,0.0824,0.9786,-1.2817,0.5493,3.0518,1,0,0,0
-0.3376,0.1345,0.9299,-2.5024,1.2817,1.5259,1,0,0,0
-0.3403,0.1470,0.9229,-0.7935,7.4463,4.4556,1,0,0,0
-0.3058,0.1572,0.8859,1.5869,6.2866,2.8687,0,0,0,1
-0.3018,0.1495,0.8944,-2.9907,-1.8921,0.1831,0,0,0,1
-0.3129,0.1248,0.9381,-0.3052,0.3662,3.4790,1,0,0,0
-0.3330,0.1290,0.9396,-1.7090,0.4272,-0.7935,1,0,0,0
-0.3070,0.1273,0.9186,-0.1221,5.7983,3.7842,1,0,0,0
-0.2955,0.1348,0.9143,-2.3193,3.7842,3.3569,1,0,0,0
-0.2751,0.1218,0.9441,1.6479,7.1411,6.8359,0,0,0,1
-0.2716,0.1343,0.9143,2.4414,12.5122,10.6812,0,0,0,1
-0.2826,0.1038,0.9578,0.6104,13.9771,10.3760,1,0,0,0
-0.2559,0.0985,0.9039,-0.1831,9.9487,-0.3662,0,0,0,1
