,accX,accY,accZ,gyroX,gyroY,gyroZ,accPCA,gyroPCA,side,gesture
8376,2186,2018,1276,12,1125,349,7659,6221,0,1
742,4172,1296,2306,5,1145,789,9214,8803,0,1
3934,3596,2768,1643,209,727,420,7225,5923,0,1
3353,3034,2466,203,762,729,982,9816,979,0,1
5969,3600,662,1404,365,891,1205,7485,4767,0,1
3351,3064,2552,188,360,18,981,9849,1543,0,1
4226,186,89,1655,210,22,21,4279,2085,0,1
4755,3439,2284,1627,33,147,1862,6675,9912,0,1
6692,1036,3359,1326,785,220,1007,1599,500,0,0
8398,1271,2247,2327,890,903,1860,2356,5724,0,0
5235,73,950,2387,688,927,1898,5593,9729,0,1
8012,3366,2575,1682,776,208,15,6276,3762,0,1
5022,1259,1618,1946,55,1244,32,1469,8359,0,0
3160,732,2181,1577,217,351,25,689,2500,0,0
7675,3554,427,1788,492,744,423,7341,3831,0,1
4797,1919,1993,944,440,932,1579,6570,8679,0,1
2406,2271,3095,1255,778,729,25,8162,5424,0,0
335,909,2292,1678,359,1232,1028,335,4117,0,0
7229,3549,2701,1905,866,678,1003,7101,8294,0,1
7228,3355,3085,1158,1419,732,1640,5982,3723,0,0
6906,3657,1000,1347,792,750,20,7742,5361,0,1
9052,4024,1579,1586,431,472,173,8883,7793,0,1
7198,4186,2257,1507,1313,1235,877,9148,9871,0,1
8615,4115,2566,1512,1112,346,15,8951,6063,0,1
7547,3286,139,1731,1226,738,1531,6141,3753,0,1
5814,2778,4188,78,988,42,618,9520,8661,0,0
4712,708,583,2305,1014,936,348,1396,7401,0,0
3244,2797,1686,573,13,29,986,9319,108,0,1
3370,999,421,1996,22,1152,1375,500,6389,0,0
10016,1085,1544,1308,957,1301,982,623,1807,0,0
6693,982,3069,1788,773,737,12,1043,3042,0,0
970,1868,730,1723,1419,949,601,5921,8161,0,1
9629,1652,262,1556,7,15,4,4916,1574,0,1
6875,3384,903,1737,836,1064,595,6798,8208,0,1
7847,297,1957,1711,204,8,1008,3584,3588,0,1
1383,1396,50,1616,774,733,21,3395,3886,0,1
2128,1330,2421,1453,1107,212,882,3217,9867,0,0
7501,2367,2388,1412,858,209,1533,8332,3349,0,1
4734,4079,586,1488,1313,948,1747,8948,8727,0,1
4205,1623,3892,678,909,119,903,5899,9753,0,0
5244,119,2333,1693,967,722,1302,4500,2507,0,1
5312,1032,112,1701,771,9,985,930,1243,0,0
6825,188,810,1633,825,588,607,4525,8242,0,1
9312,689,1221,1668,647,208,423,1584,3271,0,0
7070,1512,437,1937,938,109,242,3863,6458,0,1
8658,3253,3232,1588,24,724,20,5500,2480,0,0
9558,2193,1947,1147,687,356,996,7693,5969,0,1
2109,1079,1874,2341,642,36,823,392,8817,0,0
7550,3323,366,1745,1116,1067,539,6357,8410,0,1
2184,2504,4122,264,585,797,1817,8917,9761,0,0
286,4105,2593,1328,919,630,730,8921,4435,0,1
1402,2606,3734,832,1476,1305,584,9026,8142,0,0
5457,2414,365,2223,206,439,1018,8286,9879,0,1
1373,867,2789,2420,1101,27,425,112,4666,0,0
3708,286,3168,1528,9,727,28,3162,3779,0,0
7454,3654,53,407,714,567,1694,7419,9499,0,1
9002,3555,1728,1658,985,807,1525,7703,6596,0,0
5229,185,261,1719,764,4,26,4356,5186,0,1
291,716,2930,349,1370,134,1402,120,6286,0,0
9670,1526,669,1535,211,0,254,3955,3035,0,0
7854,93,1900,1763,357,8,995,4821,3041,0,1
267,1940,2663,1084,2,1420,5,6806,306,0,0
9040,3792,2711,1610,763,722,938,7918,9827,0,1
315,627,1699,1408,687,220,38,2342,9330,0,0
7772,139,214,1644,367,1058,24,4584,668,0,1
5014,3288,1928,1480,203,20,260,6044,5085,0,1
245,1476,342,2017,176,564,882,3677,8320,0,1
252,2589,3463,1386,1375,522,243,8919,6207,0,1
3577,3898,3545,1328,85,1338,1792,8118,4119,0,0
4535,1270,2877,1343,1427,893,1269,2999,4673,0,0
5982,3362,828,1687,764,746,23,6651,3666,0,1
6407,1819,2338,1482,212,742,992,6043,2557,0,1
9073,4492,451,35,28,827,554,9990,7019,0,1
3914,3615,2929,1572,762,743,998,7243,1218,0,1
4420,1554,1712,2340,215,453,552,3170,7750,0,0
9596,1808,455,1584,745,207,1072,5729,4442,0,1
7775,337,120,1796,6,720,417,3437,6933,0,1
248,2739,684,339,82,1388,160,9246,9795,0,1
1688,1459,408,692,280,1022,272,3916,9600,0,1
3685,222,3259,1569,2,219,15,3537,3241,0,0
4747,3518,2053,1867,361,17,647,7105,7660,0,1
7681,3309,95,1628,568,733,988,6221,3847,0,1
4999,869,2514,1349,1026,33,839,278,9501,0,0
9360,1101,3475,1300,512,1305,1742,2123,9432,0,0
1369,3161,989,2203,625,517,1339,5931,7570,0,1
1760,2167,2172,1377,18,15,1298,7615,5365,0,1
5286,905,2122,1504,786,150,1299,302,735,0,0
9394,359,3202,1552,28,9,15,2682,1830,0,0
